,ds,yhat
3871,2023-08-08,46649.489083688764
3872,2023-08-09,46655.62537509327
3873,2023-08-10,46471.1167831001
3874,2023-08-11,45783.488045015045
3875,2023-08-12,40804.868068430165
3876,2023-08-13,38427.323236668024
3877,2023-08-14,45053.600271879855
3878,2023-08-15,46536.35112721735
3879,2023-08-16,46782.65508887151
3880,2023-08-17,46831.95576014783
3881,2023-08-18,46367.94517229416
3882,2023-08-19,41599.222730562826
3883,2023-08-20,39414.69926752816
3884,2023-08-21,46214.39994732587
3885,2023-08-22,47848.73724985199
3886,2023-08-23,48223.06832178337
3887,2023-08-24,48375.65383673526
3888,2023-08-25,47989.55045029053
3889,2023-08-26,43273.26476433528
3890,2023-08-27,41116.139628333476
3891,2023-08-28,47919.127402870414
3892,2023-08-29,49534.02258529313
3893,2023-08-30,49867.96950727562
3894,2023-08-31,49961.363870113666
3895,2023-09-01,49499.681978378234
3896,2023-09-02,44694.06745577784
3897,2023-09-03,42436.648179778786
3898,2023-09-04,49131.23995148045
3899,2023-09-05,50632.511121738586
3900,2023-09-06,50850.425583094024
3901,2023-09-07,50828.0844276939
3902,2023-09-08,50253.501461688924
3903,2023-09-09,45340.14345468005
3904,2023-09-10,42982.20869661388
3905,2023-09-11,49585.300942023474
3906,2023-09-12,51005.57324804476
3907,2023-09-13,51154.15912539929
3908,2023-09-14,51075.01105075001
3909,2023-09-15,50456.681034320885
3910,2023-09-16,45512.873409418185
3911,2023-09-17,43137.742519956075
3912,2023-09-18,49736.59134406459
3913,2023-09-19,51165.044411930125
3914,2023-09-20,51333.511227814466
3915,2023-09-21,51285.05901509862
3916,2023-09-22,50707.22827278278
3917,2023-09-23,45812.62016756343
3918,2023-09-24,43494.22739523249
3919,2023-09-25,50156.163637567544
3920,2023-09-26,51652.86421906878
3921,2023-09-27,51893.573594784015
3922,2023-09-28,51920.23809821629
3923,2023-09-29,51419.33724088227
3924,2023-09-30,46602.482581091856
3925,2023-10-01,44361.75596974282
3926,2023-10-02,51100.44263825268
3927,2023-10-03,52672.232213297975
3928,2023-10-04,52985.70388532911
3929,2023-10-05,53082.214838793094
3930,2023-10-06,52647.725964580124
3931,2023-10-07,47893.39461521477
3932,2023-10-08,45710.906932814825
