,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
32,2015-09-01,53975.32543106757,42909.91249472419,47733.32460564701,53975.32543106757,53975.32543106757,-8765.315113843168,-8765.315113843168,-8765.315113843168,-8765.315113843168,-8765.315113843168,-8765.315113843168,0.0,0.0,0.0,45210.0103172244
33,2015-10-01,53903.047912627124,46891.60142158706,52164.1356415608,53903.047912627124,53903.047912627124,-4266.5072965887575,-4266.5072965887575,-4266.5072965887575,-4266.5072965887575,-4266.5072965887575,-4266.5072965887575,0.0,0.0,0.0,49636.540616038365
34,2015-11-01,53828.36114357201,56750.7997292043,61805.41614166872,53828.36114357201,53828.36114357201,5489.912853326323,5489.912853326323,5489.912853326323,5489.912853326323,5489.912853326323,5489.912853326323,0.0,0.0,0.0,59318.27399689833
35,2015-12-01,53756.08362513157,61327.744039050725,66614.42192446007,53756.08362513157,53756.08362513157,10134.590102115513,10134.590102115513,10134.590102115513,10134.590102115513,10134.590102115513,10134.590102115513,0.0,0.0,0.0,63890.673727247085
36,2016-01-01,53880.39271243506,66490.78684151385,71551.7910906641,53880.39271243506,53880.39271243506,15171.443743274865,15171.443743274865,15171.443743274865,15171.443743274865,15171.443743274865,15171.443743274865,0.0,0.0,0.0,69051.83645570993
37,2016-02-01,54004.70179973854,66283.56664745764,71330.72879224925,54004.70179973854,54004.70179973854,14773.633706952607,14773.633706952607,14773.633706952607,14773.633706952607,14773.633706952607,14773.633706952607,0.0,0.0,0.0,68778.33550669115
38,2016-03-01,54120.990983311276,58069.294993739335,63052.54420663128,54120.990983311276,54120.990983311276,6394.722196777917,6394.722196777917,6394.722196777917,6394.722196777917,6394.722196777917,6394.722196777917,0.0,0.0,0.0,60515.713180089195
39,2016-04-01,54245.30011057868,49137.18372513049,54240.738904662256,54245.30011057868,54245.30011057868,-2586.2470952545646,-2586.2470952545646,-2586.2470952545646,-2586.2470952545646,-2586.2470952545646,-2586.2470952545646,0.0,0.0,0.0,51659.05301532412
40,2016-05-01,54365.59926599875,43912.83462342479,48910.5224818048,54365.59926599875,54365.59926599875,-7989.306055563948,-7989.306055563948,-7989.306055563948,-7989.306055563948,-7989.306055563948,-7989.306055563948,0.0,0.0,0.0,46376.29321043481
41,2016-06-01,54489.90838010916,42663.22674662673,47753.47532436589,54489.90838010916,54489.90838010916,-9238.249511203028,-9238.249511203028,-9238.249511203028,-9238.249511203028,-9238.249511203028,-9238.249511203028,0.0,0.0,0.0,45251.65886890613
42,2016-07-01,54610.20752279665,43061.15908462571,48056.59697348451,54610.20752279665,54610.20752279665,-8953.798738755617,-8953.798738755617,-8953.798738755617,-8953.798738755617,-8953.798738755617,-8953.798738755617,0.0,0.0,0.0,45656.408784041036
43,2016-08-01,54734.513835148035,40215.47106995069,45234.542901634486,54734.513835148035,54734.513835148035,-11914.578000349224,-11914.578000349224,-11914.578000349224,-11914.578000349224,-11914.578000349224,-11914.578000349224,0.0,0.0,0.0,42819.93583479881
44,2016-09-01,54858.82014749941,43604.138552111035,48721.12649286817,54858.82014749941,54858.82014749941,-8708.793231649051,-8708.793231649051,-8708.793231649051,-8708.793231649051,-8708.793231649051,-8708.793231649051,0.0,0.0,0.0,46150.026915850365
45,2016-10-01,54979.11657880721,47391.20948599175,52375.85951020476,54979.11657880721,54979.11657880721,-4948.621254074136,-4948.621254074136,-4948.621254074136,-4948.621254074136,-4948.621254074136,-4948.621254074136,0.0,0.0,0.0,50030.49532473307
46,2016-11-01,54983.18158864443,58210.7375838626,63322.5266808942,54983.18158864443,54983.18158864443,5870.333815692128,5870.333815692128,5870.333815692128,5870.333815692128,5870.333815692128,5870.333815692128,0.0,0.0,0.0,60853.51540433656
47,2016-12-01,54987.11546913207,64343.32669906506,69477.26959457301,54987.11546913207,54987.11546913207,11892.661130809518,11892.661130809518,11892.661130809518,11892.661130809518,11892.661130809518,11892.661130809518,0.0,0.0,0.0,66879.77659994159
48,2017-01-01,54990.90991460954,67018.45667474814,72272.70788976683,54990.90991460954,54990.90991460954,14672.17140127037,14672.17140127037,14672.17140127037,14672.17140127037,14672.17140127037,14672.17140127037,0.0,0.0,0.0,69663.08131587991
49,2017-02-01,54994.704360086995,65716.50425502681,71111.5923998108,54994.704360086995,54994.704360086995,13386.714159794743,13386.714159794743,13386.714159794743,13386.714159794743,13386.714159794743,13386.714159794743,0.0,0.0,0.0,68381.41851988174
50,2017-03-01,54998.13160116341,58826.59090478254,63792.38709096952,54998.13160116341,54998.13160116341,6344.312001281756,6344.312001281756,6344.312001281756,6344.312001281756,6344.312001281756,6344.312001281756,0.0,0.0,0.0,61342.44360244517
51,2017-04-01,55001.94312982975,49754.83751707063,54777.590709276265,55001.94312982975,55001.94312982975,-2710.4394163766447,-2710.4394163766447,-2710.4394163766447,-2710.4394163766447,-2710.4394163766447,-2710.4394163766447,0.0,0.0,0.0,52291.5037134531
52,2017-05-01,55005.63170595848,44382.928082193095,49674.32365197647,55005.63170595848,55005.63170595848,-7979.658179580379,-7979.658179580379,-7979.658179580379,-7979.658179580379,-7979.658179580379,-7979.658179580379,0.0,0.0,0.0,47025.973526378104
53,2017-06-01,55009.45938529439,43140.06143155221,48292.92243983317,55009.45938529439,55009.45938529439,-9233.360975303816,-9233.360975303816,-9233.360975303816,-9233.360975303816,-9233.360975303816,-9233.360975303816,0.0,0.0,0.0,45776.09840999057
54,2017-07-01,55013.16359110332,43493.52597827776,48397.729382499914,55013.16359110332,55013.16359110332,-8822.40398488575,-8822.40398488575,-8822.40398488575,-8822.40398488575,-8822.40398488575,-8822.40398488575,0.0,0.0,0.0,46190.75960621757
55,2017-08-01,55016.991270439226,40288.41288243284,45334.65160201196,55016.991270439226,55016.991270439226,-12034.704358378593,-12034.704358378593,-12034.704358378593,-12034.704358378593,-12034.704358378593,-12034.704358378593,0.0,0.0,0.0,42982.286912060634
56,2017-09-01,55020.818960251185,43770.92168146147,48824.50760553741,55020.818960251185,55020.818960251185,-8731.593145477293,-8731.593145477293,-8731.593145477293,-8731.593145477293,-8731.593145477293,-8731.593145477293,0.0,0.0,0.0,46289.22581477389
57,2017-10-01,55024.523176198236,47805.81337787174,52965.80471745341,55024.523176198236,55024.523176198236,-4718.643345191374,-4718.643345191374,-4718.643345191374,-4718.643345191374,-4718.643345191374,-4718.643345191374,0.0,0.0,0.0,50305.87983100686
58,2017-11-01,55028.35087121461,58188.82485153706,63444.76637803544,55028.35087121461,55028.35087121461,5754.862708614595,5754.862708614595,5754.862708614595,5754.862708614595,5754.862708614595,5754.862708614595,0.0,0.0,0.0,60783.2135798292
59,2017-12-01,55032.05509219817,63785.53614195596,68768.5275262518,55032.05509219817,55032.05509219817,11301.835021887577,11301.835021887577,11301.835021887577,11301.835021887577,11301.835021887577,11301.835021887577,0.0,0.0,0.0,66333.89011408575
60,2018-01-01,55035.882787214534,67383.23647050456,72417.30411852946,55035.882787214534,55035.882787214534,14825.101503091946,14825.101503091946,14825.101503091946,14825.101503091946,14825.101503091946,14825.101503091946,0.0,0.0,0.0,69860.98429030649
61,2018-02-01,55039.70914451779,66387.23667850517,71434.09733706934,55039.70914451779,55039.70914451779,13850.658049846083,13850.658049846083,13850.658049846083,13850.658049846083,13850.658049846083,13850.658049846083,0.0,0.0,0.0,68890.36719436388
62,2018-03-01,55043.1652091788,58751.97207475202,63899.451751906076,55043.1652091788,55043.1652091788,6285.417582726033,6285.417582726033,6285.417582726033,6285.417582726033,6285.417582726033,6285.417582726033,0.0,0.0,0.0,61328.58279190483
63,2018-04-01,54970.37116317935,49495.73110488143,54712.58506195701,54970.37116317935,54970.37116317935,-2834.9745971277316,-2834.9745971277316,-2834.9745971277316,-2834.9745971277316,-2834.9745971277316,-2834.9745971277316,0.0,0.0,0.0,52135.39656605162
64,2018-05-01,54899.925312212144,44594.15005747626,49448.80695344005,54899.925312212144,54899.925312212144,-7966.489370409978,-7966.489370409978,-7966.489370409978,-7966.489370409978,-7966.489370409978,-7966.489370409978,0.0,0.0,0.0,46933.43594180216
65,2018-06-01,54827.131266212695,43070.98740747513,48166.89373357903,54827.131266212695,54827.131266212695,-9225.657916937333,-9225.657916937333,-9225.657916937333,-9225.657916937333,-9225.657916937333,-9225.657916937333,0.0,0.0,0.0,45601.47334927536
66,2018-07-01,54756.6854152455,43432.122181851126,48650.20415179268,54756.6854152455,54756.6854152455,-8692.464564043386,-8692.464564043386,-8692.464564043386,-8692.464564043386,-8692.464564043386,-8692.464564043386,0.0,0.0,0.0,46064.22085120211
67,2018-08-01,54683.89136924605,40033.22241319931,45235.37651970693,54683.89136924605,54683.89136924605,-12154.306961638362,-12154.306961638362,-12154.306961638362,-12154.306961638362,-12154.306961638362,-12154.306961638362,0.0,0.0,0.0,42529.58440760769
68,2018-09-01,54611.097323246606,43296.16253467194,48371.977582842286,54611.097323246606,54611.097323246606,-8750.410527744274,-8750.410527744274,-8750.410527744274,-8750.410527744274,-8750.410527744274,-8750.410527744274,0.0,0.0,0.0,45860.68679550233
69,2018-10-01,54540.651472279395,47721.12296579488,52533.39714028979,54540.651472279395,54540.651472279395,-4491.1680991331195,-4491.1680991331195,-4491.1680991331195,-4491.1680991331195,-4491.1680991331195,-4491.1680991331195,0.0,0.0,0.0,50049.48337314627
70,2018-11-01,54467.857426279945,57429.73766364465,62721.75044281784,54467.857426279945,54467.857426279945,5628.008609998833,5628.008609998833,5628.008609998833,5628.008609998833,5628.008609998833,5628.008609998833,0.0,0.0,0.0,60095.86603627878
71,2018-12-01,54397.41157531274,62743.649211632124,67736.73780585836,54397.41157531274,54397.41157531274,10715.608120655874,10715.608120655874,10715.608120655874,10715.608120655874,10715.608120655874,10715.608120655874,0.0,0.0,0.0,65113.019695968615
72,2019-01-01,54324.61752931329,66777.20070247102,71867.16421283844,54324.61752931329,54324.61752931329,14991.584744310085,14991.584744310085,14991.584744310085,14991.584744310085,14991.584744310085,14991.584744310085,0.0,0.0,0.0,69316.20227362338
73,2019-02-01,54251.82348331385,66090.33663465657,71044.47571678992,54251.82348331385,54251.82348331385,14313.143121527191,14313.143121527191,14313.143121527191,14313.143121527191,14313.143121527191,14313.143121527191,0.0,0.0,0.0,68564.96660484104
74,2019-03-01,54186.07402241112,57738.145007531486,63130.34112529823,54186.07402241112,54186.07402241112,6218.15852709548,6218.15852709548,6218.15852709548,6218.15852709548,6218.15852709548,6218.15852709548,0.0,0.0,0.0,60404.2325495066
75,2019-04-01,54113.27997641168,48678.956961231794,53551.4185703221,54113.27997641168,54113.27997641168,-2959.5910427662207,-2959.5910427662207,-2959.5910427662207,-2959.5910427662207,-2959.5910427662207,-2959.5910427662207,0.0,0.0,0.0,51153.688933645455
76,2019-05-01,54042.83412544447,43662.93987936682,48499.06739763471,54042.83412544447,54042.83412544447,-7949.726966085915,-7949.726966085915,-7949.726966085915,-7949.726966085915,-7949.726966085915,-7949.726966085915,0.0,0.0,0.0,46093.10715935855
77,2019-06-01,53970.040079445025,42269.46446849366,47256.57085092401,53970.040079445025,53970.040079445025,-9215.168126428522,-9215.168126428522,-9215.168126428522,-9215.168126428522,-9215.168126428522,-9215.168126428522,0.0,0.0,0.0,44754.8719530165
78,2019-07-01,53899.594228477814,42866.428676732656,47935.242119981034,53899.594228477814,53899.594228477814,-8564.089038952157,-8564.089038952157,-8564.089038952157,-8564.089038952157,-8564.089038952157,-8564.089038952157,0.0,0.0,0.0,45335.505189525655
79,2019-08-01,53826.800182478364,38964.00253274715,44139.07386749346,53826.800182478364,53826.800182478364,-12273.295636094348,-12273.295636094348,-12273.295636094348,-12273.295636094348,-12273.295636094348,-12273.295636094348,0.0,0.0,0.0,41553.504546384014
80,2019-09-01,53754.00613647892,42565.05655657003,47521.666540774684,53754.00613647892,53754.00613647892,-8765.31511384439,-8765.31511384439,-8765.31511384439,-8765.31511384439,-8765.31511384439,-8765.31511384439,0.0,0.0,0.0,44988.691022634535
81,2019-10-01,53683.56028551172,46852.90498825577,51920.48085913842,53683.56028551172,53683.56028551172,-4266.507296586635,-4266.507296586635,-4266.507296586635,-4266.507296586635,-4266.507296586635,-4266.507296586635,0.0,0.0,0.0,49417.05298892508
82,2019-11-01,53610.766239512275,56453.87244161812,61826.34909482353,53610.766239512275,53610.766239512275,5489.912853325506,5489.912853325506,5489.912853325506,5489.912853325506,5489.912853325506,5489.912853325506,0.0,0.0,0.0,59100.67909283778
83,2019-12-01,53540.320388545064,61158.169383879926,66238.31089502948,53540.320388545064,53540.320388545064,10134.590102113778,10134.590102113778,10134.590102113778,10134.590102113778,10134.590102113778,10134.590102113778,0.0,0.0,0.0,63674.91049065884
